T,-0.69,22-Nov-15 09:05:01,35,20-Aug-15 10:21:05
V_MCU,2.92,12-Jul-15 18:58:01,3,07-Jul-15 10:27:30
V_IN,4.9,07-Jul-15 19:35:29,5.02,31-Aug-15 05:11:47
V_A3,0,07-Jul-15 23:53:44,287,21-Sep-15 17:48:42
P_MS5611,970.81,29-Nov-15 18:22:18,1033.83,29-Sep-15 15:49:29
